word	count
წლის	116195
წელს	112253
იყო	85785
ის	67278
მისი	54011
ამ	47665
კმ	39371
იგი	38165
ეს	36733
არის	34208
მდებარეობს	32178
დიდი	31398
სხვა	29491
მას	28277
მოსახლეობა	27331
მათ	27060
წლებში	25594
საქართველოს	24575
ყველაზე	21480
მონაცემებით	20941
მის	20236
სამხრეთ	19927
მეორე	19875
მან	19722
ზღვის	19586
ერთ	19362
გახდა	19333
დროს	19226
ერთად	18530
აქვს	18467
ქალაქი	18274
ახალი	17946
ადამიანს	17100
ზე	16994
სოფელი	16186
წლიდან	15969
მოსახლეობის	15866
ორი	15642
ერთი	15552
ადამიანი	15464
ფართობი	15138
შეადგენდა	14942
რამდენიმე	14808
დაიწყო	14780
დონიდან	14391
მდინარე	14287
მიხედვით	13995
საუკუნის	13800
სახელმწიფო	13785
ეკლესია	13567
მსოფლიო	13337
თავისი	13243
მიიღო	13169
ნაწილი	13076
რაიონი	12822
იმ	12483
მიეკუთვნება	12256
ისინი	12214
თავის	12101
აღწერის	11964
დასავლეთ	11696
შეიძლება	11561
იქნა	11540
ქვეყნის	11510
აღმოსავლეთ	11448
მთავარი	11448
რუსეთის	11373
ცნობილი	11334
ში	11275
საქართველოში	11266
წელი	11246
სახელი	11127
ეროვნული	11111
დაახლოებით	10915
ქალაქის	10720
ქალაქ	10646
ტიპის	10590
საუკეთესო	10573
ჩრდილოეთ	10356
სამხედრო	10242
ძვ	10142
მუნიციპალიტეტი	10041
ია	10024
შეადგენს	9962
ქართული	9832
წარმოადგენს	9728
შედის	9532
პერიოდში	9474
შემადგენლობაში	9386
მე	9377
განმავლობაში	9343
სიმჭიდროვე	9322
მცირე	9301
ალბომი	9256
ჩარტი	9177
რომელმაც	9169
მეფე	9148
მეტრზე	9021
ომის	8902
ჰქონდა	8871
აქ	8836
რაიონში	8829
ძველი	8717
საერთაშორისო	8643
კლასის	8507
შუა	8475
გამოვიდა	8377
ადგილი	8366
ეკლესიის	8364
საბჭოთა	8277
ძირითადად	8143
დე	8012
ნაწილში	7998
იყვნენ	7900
არიან	7885
მიუხედავად	7864
წმინდა	7852
ტერიტორიაზე	7828
სამი	7802
საკუთარი	7780
კაცი	7771
ჯერ	7749
თბილისის	7710
მნიშვნელოვანი	7622
ჯგუფის	7354
ცხოვრობს	7344
მოგვიანებით	7263
პირველად	7262
პირველ	7254
სიმღერა	7237
სამეფო	7187
თანამედროვე	7165
სოფელში	7160
წლების	7103
ცენტრი	7068
ჩრდილო	7020
წლამდე	6935
საუკუნეში	6932
ალბომების	6927
არსებობს	6917
დიდ	6906
მუნიციპალიტეტში	6871
ძირითადი	6803
წევრი	6724
მესამე	6722
ადმინისტრაციული	6712
მეტი	6675
მდე	6659
პოლიტიკური	6540
ქართველი	6491
საერთო	6461
დაიბადა	6458
პატარა	6451
იან	6429
ფილმი	6417
რაოდენობა	6328
უმაღლესი	6306
სახით	6247
ცნობილია	6246
საშუალო	6201
ძალიან	6193
საფრანგეთის	6162
რესპუბლიკის	6134
გიორგი	6114
მრავალი	6062
შეიქმნა	5973
შტატში	5951
გარდაიცვალა	5925
ქალი	5838
ორ	5832
ჯგუფი	5829
რომელშიც	5739
ნაირსახეობა	5732
პროვინციაში	5723
თითქმის	5719
მოიცავს	5650
ფეხსახსრიანთა	5621
ჭიანჭველასებრთა	5615
მწერთა	5608
სოფელ	5570
ევროპის	5502
მაღალი	5445
შედგება	5436
სოფლის	5417
აღმოსავლეთით	5398
საკმაოდ	5369
ახალ	5305
ცენტრალური	5218
ამავე	5186
პროვინცია	5179
ალბომის	5102
დღეს	5070
ორივე	4994
გვარიდან	4993
რომის	4989
ხდება	4983
მა	4973
მუშაობდა	4937
დასავლეთით	4912
იმპერიის	4901
ტაძარი	4844
ბევრი	4843
ადამიანის	4835
მეფის	4824
ბრიტანეთის	4775
ადგილობრივი	4755
უდიდესი	4733
წინ	4687
ოქროს	4681
სახელობის	4653
ბრძოლა	4651
უნივერსიტეტის	4641
ბოლო	4577
ქვეყანაში	4576
ისე	4573
ამერიკის	4512
შექმნა	4494
ალექსანდრე	4487
მსოფლიოს	4481
თავი	4462
რომელთა	4450
პრეზიდენტი	4444
მოხდა	4440
მხარეს	4440
სახელწოდება	4423
სამეცნიერო	4415
სან	4409
თემი	4408
მდებარე	4404
არსებული	4402
იმისა	4400
ძე	4394
გამოიყენება	4378
ტერიტორია	4343
რეგიონში	4343
იანი	4310
შვილი	4309
გვხვდება	4306
კავშირის	4287
გადავიდა	4281
ბრაზილიაში	4279
საფეხბურთო	4275
ზოგიერთი	4270
დაარსდა	4265
მუნიციპალიტეტის	4252
სამხრეთით	4235
სიგრძე	4229
რეგიონის	4209
უკანასკნელი	4205
აქვთ	4181
თავს	4174
თანახმად	4149
ასეთი	4141
დან	4131
გერმანიის	4123
ქვეყანა	4086
რაიონის	4056
ცხოვრობდა	4050
შტატის	4042
ეკონომიკურ	4041
დღე	4031
ხელი	4005
დაამთავრა	4002
იყოს	4000
ქალაქში	3988
ისტორიული	3987
ჩრდილოეთით	3985
ენა	3973
ყოფილი	3962
ნიუ	3959
აგვისტოს	3948
ვიდრე	3939
მოსკოვის	3926
რა	3911
თამაშებზე	3908
შავი	3902
სახელმწიფოს	3878
სამეფოს	3878
წყლის	3866
ცენტრალურ	3853
მილიონი	3851
მსახიობი	3847
აღსანიშნავია	3840
კარგად	3822
ჯგუფ	3815
ქვეოჯახს	3813
მეზორეგიონს	3795
როკ	3783
თბილისი	3749
მასში	3744
ძეგლი	3737
ენაზე	3732
ქართლის	3729
საბჭოს	3725
წარმომადგენელი	3722
ბრძოლაში	3716
ალ	3712
იანვარი	3704
მარჯვენა	3698
დასრულდა	3693
სისტემა	3693
სიმაღლე	3693
კუნძული	3679
მაისს	3675
ოქტომბერი	3675
აგებულია	3673
დავით	3668
დროის	3666
აღმოჩნდა	3664
კაცს	3663
შემთხვევაში	3657
სახალხო	3645
გავრცელებული	3639
ქვეშ	3637
გამოიცა	3629
მარტი	3607
მთავარ	3592
ადრე	3590
ცხოვრების	3574
წარმოადგენდა	3573
მსოფლიოში	3566
ოქტომბერს	3548
წწ	3537
მარტს	3535
სექტემბერი	3535
გუნდი	3532
ქართულ	3522
სექტემბერს	3517
შიდა	3511
მთლიანად	3507
როლი	3498
ტაძრის	3498
ზაფხულის	3494
იქ	3489
ივლისს	3488
მუსიკალური	3481
ახალგაზრდა	3480
ოლქში	3478
ზემო	3477
ოთხი	3475
ხელოვნების	3474
საუკუნეებში	3461
დეკემბერი	3460
მანძილზე	3457
ომი	3455
თბილისში	3450
პროვინციის	3449
ნოემბერი	3433
სიმღერის	3431
მარცხენა	3427
თეთრი	3419
ივლისი	3416
მონაწილეობა	3414
ჯონ	3405
აგვისტო	3404
ივნისს	3403
ოლქის	3400
საკუთარ	3391
ნოემბერს	3388
გაიმართა	3384
მიღებული	3377
ასაკში	3376
მეტრი	3376
გავრცელებულია	3375
მაისი	3375
დღემდე	3374
დაიკავა	3355
კულტურის	3350
ასე	3348
ოფიციალური	3343
შევიდა	3316
ციხე	3311
ზედა	3308
სახლი	3300
მოღვაწე	3286
შემდეგი	3280
პარტიის	3279
ეროვნულ	3278
განაცხადა	3273
სახეობა	3264
შესაბამისად	3259
ით	3258
წითელი	3258
თებერვალი	3254
ოსმალეთის	3250
მეცნიერებათა	3247
ოლქი	3243
დეკემბერს	3238
ფილმში	3224
ნიშნავს	3207
აპრილს	3202
აფრიკის	3201
ადგილზე	3194
სსრკ	3187
ეკონომიკური	3186
შეიცავს	3186
ალბომები	3185
საზოგადოების	3184
მეოთხე	3179
ივნისი	3176
კომპანია	3163
მთელ	3162
საუკუნეების	3150
კულტურული	3142
მმართველობის	3136
იანვარს	3135
სტატისტიკურ	3132
ითვლება	3127
სკოლა	3124
განვითარების	3120
ისტორიაში	3092
აპრილი	3092
წინა	3091
ფილმის	3090
მოიპოვა	3087
მძიმე	3083
თამაში	3083
იგივე	3076
ქვემო	3070
დაბრუნდა	3069
მისმა	3067
მიკრორეგიონ	3065
რეგიონი	3061
სინგლი	3056
მონაწილეობდა	3055
უძველესი	3049
მამა	3042
ამერიკული	3039
პოზიცია	3035
მალე	3032
ძლიერი	3024
მხარის	3023
დემოკრატიული	3022
სიაში	3022
სამოქალაქო	3020
მთის	3015
დედაქალაქი	3008
მემკვიდრეობის	3008
ისტორიის	2974
მნიშვნელობა	2969
მთა	2968
იტალიის	2965
გოლი	2959
ამერიკელი	2957
კლუბი	2953
რუსეთში	2953
ოჯახში	2951
აღნიშნავდეს	2943
ინგლისური	2934
პარკი	2934
პერიოდის	2932
გავლენა	2930
ესპანეთის	2919
ევროპაში	2916
ოლიმპიურ	2913
შეძლო	2899
მატჩი	2898
ტბა	2897
სტუდიური	2891
მიაღწია	2886
ვაჟი	2879
იქცა	2871
ქვის	2870
სასოფლო	2865
თებერვალს	2862
გარდაცვალების	2855
სეზონი	2854
აღწევს	2850
ახლოს	2846
არსებობდა	2844
პარტია	2839
უნივერსიტეტში	2835
სახელით	2834
აკადემიის	2832
მმ	2813
გამოიწვია	2798
ნაწილს	2795
სამ	2784
თემის	2780
აზერბაიჯანში	2778
ათასი	2774
სმ	2774
არმიის	2773
აშშ	2760
ისტორია	2758
ოჯახის	2755
ინსტიტუტის	2753
გაიხსნა	2747
შენობა	2746
რომლებსაც	2743
კუნძულ	2742
ეკუთვნის	2742
ეწოდა	2739
ვერსია	2738
ფეხბურთელი	2737
დატოვა	2736
მქონე	2736
ღია	2736
ქედის	2730
ავტორი	2728
დაკავშირებული	2719
სისტემის	2718
სწავლობდა	2715
ჰქონდათ	2715
ჩანს	2713
სამხრეთი	2712
წიგნი	2712
მუზეუმი	2712
ბრძოლის	2711
მოიგო	2708
ძველ	2703
აღმოსავლეთი	2699
იყენებენ	2695
მხრიდან	2675
ზომის	2669
შეუძლია	2665
ფართო	2663
გარკვეული	2659
ჩამოყალიბდა	2652
რამაც	2645
უფროსი	2644
მთავრობის	2642
ხის	2635
ქვედა	2631
პრემიერ	2620
დონის	2615
უფლება	2614
კუნძულის	2601
ხალხის	2589
სომხეთის	2585
კავშირი	2580
შეტანილია	2577
სეზონის	2575
სტატუსი	2573
ცენტრია	2568
აზერბაიჯანის	2567
ღვთისმშობლის	2563
ოჯახს	2546
იყოფა	2544
რესპუბლიკა	2543
შექმნილი	2541
ესაზღვრება	2535
თავისუფალი	2526
შესაძლოა	2525
ტერიტორიის	2520
დედა	2518
ომში	2518
საზღვაო	2517
სრული	2513
სეზონში	2504
ხალხი	2501
დაშორებულია	2501
ოჯახი	2495
ბუნებრივი	2495
ავსტრალიის	2495
ვიდეო	2495
მზის	2493
აფხაზეთის	2490
ხელში	2489
მიზნით	2488
ძმა	2485
შესაძლებელია	2480
შედიოდა	2474
უნივერსიტეტი	2471
ტახტზე	2465
მიიღეს	2464
მოხვდა	2464
უკან	2464
შედგა	2460
პოპულარული	2454
სოციალური	2449
ინგლისის	2445
იწყება	2443
ისტორიულ	2443
იღებს	2438
შემორჩენილია	2437
ისევ	2432
მხარე	2426
აღნიშნული	2420
ლა	2420
დასავლეთი	2419
სანაპიროზე	2416
ჯილდო	2413
დასახლებული	2408
კუნძულები	2401
უწოდებენ	2395
დარჩა	2395
დგას	2395
სავაჭრო	2393
სხვ	2392
გაერთიანებული	2388
ფართობია	2380
დაამარცხა	2369
ჩემპიონატი	2366
წესი	2362
ძირითად	2353
ფორმა	2351
სავარაუდოდ	2350
კუნძულზე	2348
გააჩნია	2341
სკოლის	2338
გზა	2337
განსაკუთრებული	2332
ცხოვრება	2329
აქედან	2320
ხანის	2319
მარია	2319
ხელისუფლების	2318
ერთმანეთს	2316
ცენტრში	2316
საფუძველზე	2313
გერმანიაში	2308
სიმღერების	2307
მუსიკის	2305
სრულიად	2303
ფარგლებში	2293
მუშაობა	2287
სანაპირო	2284
მასზე	2283
მწერალი	2282
საეკლესიო	2264
ოფიციალურად	2258
დედამიწის	2258
მწვრთნელი	2258
მხარეში	2253
სადგური	2247
პრეზიდენტის	2245
დედაქალაქ	2244
მშენებლობა	2243
ძალების	2239
თასი	2233
რკინიგზის	2232
ეგვიპტის	2232
მნიშვნელოვან	2226
მონასტერი	2220
მალევე	2219
უმრავლესობა	2218
ფინალში	2211
ამისა	2203
სიტყვა	2202
ეწოდება	2202
დამოუკიდებელი	2201
სიმაღლეზე	2201
უარი	2197
სიკვდილის	2197
მინისტრი	2196
დღის	2194
კუნძულების	2192
გერმანული	2191
ყოფილა	2190
ხუთი	2188
გიორგის	2181
თარიღი	2179
იოანე	2178
გვარი	2177
წელიწადში	2172
საქართველო	2170
ნაპირზე	2167
კილომეტრით	2167
გუნდის	2166
მეუღლე	2163
ჩრდილოეთი	2162
მიენიჭა	2152
გადაწყვიტა	2151
მომდევნო	2151
დასავლეთის	2150
დაიწყეს	2148
სკოლაში	2146
გამოაცხადა	2139
ადმინისტრაციულ	2137
აზრით	2135
დინასტიის	2135
ადგილას	2129
სსრ	2128
რელიგიური	2125
მეშვეობით	2123
სახის	2123
პერუში	2119
ტერმინი	2106
აირჩიეს	2101
დაბალი	2097
სათავეში	2095
მრავალმნიშვნელოვანი	2095
ტემპერატურა	2094
მატჩში	2093
პოლიტიკურ	2090
აღმოსავლეთის	2090
რუსული	2089
სპეციალური	2088
დაინიშნა	2085
განსხვავებით	2082
იმერეთის	2082
მიმდინარეობდა	2081
კილომეტრი	2080
შესასვლელი	2070
გაიზარდა	2068
კახეთის	2068
ამერიკაში	2067
სხეულის	2062
რესპუბლიკაში	2062
გამოსცა	2059
მოდის	2055
იაპონიის	2054
დრო	2052
თურქეთის	2051
ხელს	2050
ელ	2048
ოკეანის	2044
მოჰყვა	2043
წმ	2043
დუ	2042
კედლის	2041
რაოდენობით	2040
სახლში	2037
როლს	2036
უკრაინაში	2031
წარმატებული	2030
მაგ	2026
დაიღუპა	2022
წარმოდგენილია	2017
დააარსა	2013
ყოფილიყო	2013
ჰყავდა	2010
ჯგუფს	1998
მიხეილ	1988
გამოჩნდა	1987
პროფესორი	1986
სია	1985
რომელზეც	1980
სამეურნეო	1979
კოშკი	1972
შეუერთდა	1971
ალბომში	1971
მოკლე	1967
ნიკოლოზ	1963
ივანე	1962
ფორმის	1961
შედეგი	1961
განათლების	1959
მასთან	1958
რომელთაც	1955
გარშემო	1955
აქტიურად	1954
კავკასიის	1953
თამაშის	1949
ლიგის	1942
საკონცერტო	1941
ძლიერ	1937
დასახლება	1934
ითამაშა	1934
ჯგუფმა	1931
კარგი	1930
ხეობაში	1926
წარმოშობის	1926
თავზე	1926
იზრდება	1922
დაკავშირებით	1919
ჩატარდა	1918
მიწის	1916
პერიოდი	1915
ყოველ	1913
დახმარებით	1910
ნაწილის	1907
მისცა	1904
მეხუთე	1898
ნაკრების	1898
აეროპორტი	1896
არქეოლოგიური	1895
მდებარეობდა	1884
მედალი	1883
გამარჯვებული	1883
საფრანგეთში	1881
დამოუკიდებლობის	1878
ტიტული	1877
სწორკუთხა	1874
შეასრულა	1868
ფართოდ	1868
